ingre_id,﻿ingre_name,ingre_unit,ingre_main,ingre_img
1,대창,g,0,
2,양파,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154649352_CZFWKOYTG.jpg%2F294_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
3,꽈리고추,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175422936_8LYO0XVIO.jpg%2F120_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
4,새송이버섯,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175149559_BFYZUF1YL.jpg%2F65_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
5,달걀노른자,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180144688_01NN9AQE6.jpg%2F348_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
6,밥,공기,0,
7,와사비,약간,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407161421662_810NJBC3R.jpg%2Fi-343_4-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
8,식용유,약간,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2644_000_1%2F20171025190300462_XJOX97E3C.jpg%2F8282cded-ed79-42.jpg%3Ftype%3Dw450_fst_nce%22&twidth=226&theight=226&opts=17
9,데리야끼소스,숟가락,1,
10,맛술,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181830754_W5P4KMNRR.jpg%2F836_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
11,소고기,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160133261_8M5QH94XI.jpg%2Fi-169_1-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
12,미나리,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718160035408_FCMU144PQ.jpg%2F1942_1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
13,홍고추,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008175429048_FW74Z1ZPW.jpg%2F125_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
14,달걀,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718155841718_AQY1HZR27.jpg%2F1246_1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
15,고추장,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1767_000_1%2F20130118164359618_C80FD29K2.jpg%2Ffe49_30_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
16,식초,ml,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2644_000_2%2F20150324145204969_37V7QNIIH.jpg%2Fb03c18e4-6592-4f.jpg%3Ftype%3Dw450_fst_nce%22&twidth=226&theight=226&opts=17
17,설탕,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180401879_UHINEF6ZK.jpg%2F419_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
18,소금,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1767_000_1%2F20130118164216357_VTNMJLRYL.jpg%2Ffe49_27_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
19,애호박,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154649648_GVV33NCNG.jpg%2F296_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
20,소면,인분,0,
21,대파,대,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1005_000_1%2F20120321172340941_5KL1XXWSU.jpg%2Ffe25_0058_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
22,들기름,약간,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181037886_E8E742LED.jpg%2F610_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
23,다진마늘,숟가락,0,
24,고춧가루,작은술,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181726994_M2PUN8642.jpg%2F808_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
25,참기름,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181100215_ZXKTU92K1.jpg%2F621_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
26,통깨,숟가락,1,
27,두부,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1767_000_1%2F20130118163917407_4G66X9NXG.jpg%2Ffe49_19_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
28,마늘,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154629741_L96DCFU4W.jpg%2F132_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
29,깨소금,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181837574_XIKOMUMNI.jpg%2F841_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
30,후추,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180917225_CEPH3SVS2.jpg%2F572_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
31,잣,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2543_000_1%2F20130718161046928_DFB6BO2IB.jpg%2F4813_1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
32,라면,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F1767_000_1%2F20130118163550109_ZK9AG302J.jpg%2Ffe49_16_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
33,라면스프,숟가락,0,
34,카레가루,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180354938_9SN1KSGTJ.jpg%2F416_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
35,슬라이스치즈,장,0,
36,물,종이컵,1,
37,파슬리가루,약간,1,
38,밀가루,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008180101226_QIDK6BN0Y.jpg%2F327_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
39,홍합,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407160231227_NW3H3XH2M.jpg%2Fi-188_2-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
40,검은후추,g,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154627779_F00O8FVWA.jpg%2F113_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
41,진간장,ml,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181848851_8YSWHWUOG.jpg%2F844_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
42,생강,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2984_000_1%2F20140407155959600_Q7JDCYZUB.jpg%2Fi-148_3-1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
43,먹물스파게티,g,0,
44,오징어,마리,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5741_000_1%2F20190319172636809_96KW0YLYS.jpg%2Ffe125_683_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
45,버터,숟가락,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008181916340_1X55C0QYQ.jpg%2F860_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
46,방울토마토,개,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008174832754_1VCDOXZOC.jpg%2F32_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
47,올리브유,약간,1,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F0700_000_1%2F20110809154656022_LHLPVVIN6.jpg%2F344_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17
48,면수,종이컵,1,
49,그라노파다노치즈,약간,0,
50,청포묵,g,0,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F2758_000_1%2F20131008182017324_KPED3FIFK.jpg%2F1151_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10
51,숙주,줌,0,
